"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"1172932",1995,"Canada","Croatia","Mineral resources and mining","III.2.b. Mineral Resources & Mining",18553
"1173146",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","VIII.1. Emergency Response",294448
"1174262",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",69533233
"1174265",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",23177744
"1174268",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",30903659
"1174271",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",927110
"1174275",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",1545183
"1174278",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Other","",30903659
"1174282",2003,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",29049440
"1174653",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",24912428
"1175162",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",43926801
"1175163",1997,"European Bank for Reconstruction & Development (EBRD)","Croatia","Agriculture","",28857338
"1175164",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",100620389
"1175165",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",29810375
"1175316",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",16537148
"1175317",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",20919561
"1175441",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",18210839
"1175930",1997,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",7683907
"1175947",1995,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",83585824
"1175955",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",12052405
"1175956",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",94835344
"1176063",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",9065143
"1176079",1995,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",47071106
"1176080",1995,"European Bank for Reconstruction & Development (EBRD)","Croatia","Agriculture","",9344999
"1176081",1995,"European Bank for Reconstruction & Development (EBRD)","Croatia","Agriculture","",18863053
"1176082",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",17482406
"1176083",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Tourism","",45151386
"1176084",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",14374341
"1176085",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",18130286
"1176153",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",28748683
"1176175",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",58274686
"1176183",1995,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",5710833
"1178221",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Communications","",2622361
"1178257",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Communications","",14568672
"1178291",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",51678589
"1178759",1997,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",8708428
"1178760",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Other social infrastructure and services","",88025863
"1178777",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",80419067
"1179158",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Communications","",35996515
"1179206",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",84063838
"1179270",1994,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",31278069
"1179272",1997,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",12977265
"1179293",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",131118044
"1179576",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",38666978
"1179853",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",52447218
"1181433",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",28748683
"1181434",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",51172655
"1181435",2000,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",20699051
"1181579",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",31175553
"1181580",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",12373802
"1181582",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",5785154
"1181583",1999,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",2089083
"1181613",1998,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",7579526
"1181684",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",36086243
"1181685",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",5404220
"1181686",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",4706901
"1182134",1994,"European Bank for Reconstruction & Development (EBRD)","Croatia","Energy generation and supply","",69370912
"1182135",1994,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",65526680
"1182355",2005,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",15097992
"1182356",2005,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",40009679
"1182596",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",582747
"1182597",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",728434
"1182598",2001,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",3787855
"1183048",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Agriculture","",164056989
"1183049",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",74571359
"1183050",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",14914272
"1183051",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",14914272
"1183052",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",79194783
"1183053",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",7457136
"1183054",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",447428
"1183055",2006,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",10439990
"1183369",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",44246936
"1183370",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",36872447
"1183371",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",36872447
"1183372",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Banking and financial services","",176987743
"1183373",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",68582751
"1183374",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Communications","",38347344
"1183375",2002,"European Bank for Reconstruction & Development (EBRD)","Croatia","Agriculture","",36872447
"1186795",2004,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",11639234
"1186798",2004,"European Bank for Reconstruction & Development (EBRD)","Croatia","Other social infrastructure and services","",155190
"1186799",2004,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",31037958
"1186801",2004,"European Bank for Reconstruction & Development (EBRD)","Croatia","Other social infrastructure and services","",77594896
"1192145",1996,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",9065143
"1193207",2008,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",128025962
"1193209",2008,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Water supply and sanitation","",91447115
"1193255",2008,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Health","",29576610
"1193627",2007,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Government and civil society, general","",74813637
"1193703",2007,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","General budget support","",217179587
"1193705",2007,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",52842632
"1193706",2007,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Water supply and sanitation","",146777755
"1193870",2006,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",89472968
"1193972",2006,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Energy generation and supply","",35408957
"1194085",2006,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Agriculture","",35812952
"1194176",2005,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","General budget support","",224613644
"1194178",2005,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Education","",103256678
"1194212",2005,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Industry","",48591378
"1194266",2005,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other social infrastructure and services","",48591378
"1194341",2005,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Government and civil society","",55491354
"1194584",2004,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Water supply and sanitation","",59383290
"1194733",2003,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Energy generation and supply","",6838207
"1194764",2003,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",214035885
"1194983",2002,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Government and civil society, general","",40220863
"1195009",2002,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other social infrastructure and services","",42724886
"1195190",2001,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","General budget support","",328601050
"1195305",2001,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Government and civil society, general","",8133689
"1195464",2000,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Trade policy and regulations","",21727454
"1195709",1999,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Health","",43736570
"1195843",1999,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other","",11009550
"1195908",1999,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",152323915
"1196055",1998,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Water supply and sanitation","",55666818
"1196056",1998,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other","",62260959
"1196255",1997,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Business and other services","",45263886
"1196401",1997,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other","",143335638
"1196483",1996,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Forestry","",58450389
"1196494",1996,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other","",141950945
"1196688",1996,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Banking and financial services","",13220921
"1196697",1996,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Other","",6958380
"1196707",1996,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Agriculture","",23658491
"1196933",1995,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Transport and storage","",106982071
"1196988",1995,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Health","",53491036
"1197121",1994,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Reconstruction relief","",188622175
"1198374",1989,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Water supply and sanitation","",51109490
"1203829",2007,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",15060925
"1203830",2007,"European Bank for Reconstruction & Development (EBRD)","Croatia","Business and other services","",15060925
"1203831",2007,"European Bank for Reconstruction & Development (EBRD)","Croatia","Industry","",43375463
"1203832",2007,"European Bank for Reconstruction & Development (EBRD)","Croatia","Transport and storage","",16868236
"1203833",2007,"European Bank for Reconstruction & Development (EBRD)","Croatia","Water supply and sanitation","",45182774
"1203900",2007,"United Nations Democracy Fund (UNDEF)","Croatia","Government and civil society, general","",258822
"1206431",2009,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Disaster prevention and preparedness","",51686383
"1206457",2010,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","Government and civil society, general","",38670740
"1206469",2011,"World Bank - International Bank for Reconstruction and Development (IBRD)","Croatia","General environmental protection","",5e+07
"1206869",2004,"International Monetary Fund (IMF)","Croatia","General budget support","",83513793
"1206871",2003,"International Monetary Fund (IMF)","Croatia","General budget support","",202894921
"1206873",2001,"International Monetary Fund (IMF)","Croatia","General budget support","",414177461
"1206874",1997,"International Monetary Fund (IMF)","Croatia","General budget support","",387293997
"1206877",1994,"International Monetary Fund (IMF)","Croatia","General budget support","",67324541
"1209469",2003,"Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)","Croatia","Population policies/ programmes and reproductive health","",6762062
"1215720",1999,"United States","Croatia","Government and civil society, general","",19042718
"1215721",1999,"United States","Croatia","Communications","",111794972
"1216022",2004,"Sweden","Croatia","Other","I.6. Other Social Infrastructure & Services",4666346
"1216173",2004,"Netherlands","Croatia","","XI. Refugees in Donor Countries",145514
"1216450",2004,"France","Croatia","","I.2.a. Health, General",14314
"1216544",2005,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",53570
"1217137",1997,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",24975
"1217175",2004,"United Kingdom","Croatia","Conflict prevention and resolution, peace and security","VIII.1. Emergency Response",1342787
"1217531",2007,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",12623
"1217758",1998,"France","Croatia","","I.1.a. Education, Level Unspecified",76441
"1217848",2006,"Sweden","Croatia","General budget support","I.5.a. Government & Civil Society-general",231339
"1218238",2007,"United Nations Development Programme (UNDP)","Croatia","Business and other services","II.5. Business & Other Services",11002
"1218322",2006,"European Communities (EC)","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",6719913
"1218661",2005,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",111671
"1218726",2003,"Germany","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",34277
"1218992",2004,"United States","Croatia","Business and other services","II.5. Business & Other Services",81986
"1219417",1998,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",66195
"1219507",2002,"United States","Croatia","Other","IV.2. Other Multisector",7377
"1219722",2005,"Norway","Croatia","Reconstruction relief","VIII.1. Emergency Response",750464
"1219730",2007,"United Nations Development Programme (UNDP)","Croatia","Tourism","VIII.2. Reconstruction Relief & Rehabilitation",69561
"1220465",1998,"United States","Croatia","","II.5. Business & Other Services",662836
"1220764",1998,"Spain","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",314880
"1220935",2002,"United States","Croatia","Communications","II.2. Communications",303696
"1221362",2003,"Norway","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",99376
"1221859",2003,"Japan","Croatia","Support to non- governmental organisations (ngos) and government organizations","X. Support to NGO's",597446
"1222257",2000,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",77228
"1222838",2000,"Japan","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",488959
"1223353",2007,"Joint United Nations Programme on HIV/AIDS (UNAIDS)","Croatia","","I.3. Population Pol./Progr. & Reproductive Health",2053
"1223577",2006,"Portugal","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",8316
"1224165",1999,"Germany","Croatia","Other","IV.2. Other Multisector",102386
"1224198",2007,"Belgium","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",68227
"1224523",2007,"European Communities (EC)","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",3320823
"1224798",1998,"France","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",1054
"1225076",2005,"Germany","Croatia","Unallocated/  unspecified","II.5. Business & Other Services",19718
"1225122",1998,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",29512
"1225430",2003,"Japan","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",180864
"1225739",2005,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",10202
"1225878",2003,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",31559
"1225923",1999,"Switzerland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",770072
"1226166",1999,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",11204
"1226465",2002,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",373220
"1226538",2003,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",17388
"1226646",2004,"Switzerland","Croatia","Emergency response","IV.2. Other Multisector",17092
"1226690",1998,"United Kingdom","Croatia","Agriculture","III.1.a. Agriculture",7474
"1226969",2005,"France","Croatia","","III.2.a. Industry",1212
"1227432",2006,"Germany","Croatia","","IV.1. General Environment Protection",57693
"1227670",1999,"France","Croatia","Other","IV.2. Other Multisector",45237
"1227814",2008,"Belgium","Croatia","Banking and financial services","II.4. Banking & Financial Services",3566
"1227878",2003,"Italy","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",269805
"1228449",2002,"Germany","Croatia","Business and other services","II.5. Business & Other Services",136219
"1228654",2003,"Germany","Croatia","Banking and financial services","II.4. Banking & Financial Services",5174
"1229427",2004,"United States","Croatia","Government and civil society, general","I.5.b. Conflict, Peace & Security",3514
"1230523",2000,"Austria","Croatia","","I.1.a. Education, Level Unspecified",37028
"1230719",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",23500
"1230843",1996,"Italy","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",83349
"1230984",2008,"Switzerland","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",10179
"1231077",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",32165
"1231455",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",800355
"1232001",1999,"United States","Croatia","Business and other services","II.5. Business & Other Services",326333
"1232360",2005,"United States","Croatia","Communications","I.6. Other Social Infrastructure & Services",12469
"1232686",2003,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",9063
"1233048",1997,"Belgium","Croatia","Development aid/food security assistance","VI.2. Dev. Food Aid/Food Security Ass.",361874
"1233148",2004,"Austria","Croatia","Unallocated/  unspecified","I.1.d. Post-Secondary Education",5532
"1233473",2001,"France","Croatia","","I.1.a. Education, Level Unspecified",824843
"1233581",2004,"Greece","Croatia","Other","IV.2. Other Multisector",3995
"1233721",2008,"European Communities (EC)","Croatia","Other","III.1.a. Agriculture",36667481
"1234271",2006,"Germany","Croatia","Unallocated/  unspecified","II.5. Business & Other Services",106300
"1234685",2001,"Norway","Croatia","Business and other services","II.5. Business & Other Services",26575
"1234862",2007,"Germany","Croatia","","I.1.d. Post-Secondary Education",5378602
"1234908",2004,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",129506
"1235092",2003,"United States","Croatia","Government and civil society","I.5.a. Government & Civil Society-general",1204
"1235261",1996,"France","Croatia","Emergency response","VIII.1. Emergency Response",533319
"1235619",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",3820
"1235949",2005,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7601908
"1236013",2005,"Italy","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",9243
"1236626",2005,"Belgium","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",972
"1237554",2007,"Portugal","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",28102
"1237670",2002,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",2639725
"1238291",2001,"France","Croatia","Industry","III.2.a. Industry",21642
"1238452",2007,"United States","Croatia","Other","IV.2. Other Multisector",2134
"1238650",1999,"United Nations Development Programme (UNDP)","Croatia","","XII. Unallocated / Unspecified",45288
"1238812",2007,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",51726
"1238827",2008,"Switzerland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",13571
"1239025",2001,"United States","Croatia","Communications","II.2. Communications",93708
"1239292",2006,"Japan","Croatia","Unallocated/  unspecified","II.3. Energy",49663
"1239421",2001,"Italy","Croatia","","I.1.d. Post-Secondary Education",1501
"1239723",1996,"Sweden","Croatia","Reconstruction relief","VIII.1. Emergency Response",131820
"1239760",2006,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",107911
"1239830",2005,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",5737
"1240047",2006,"Sweden","Croatia","Unallocated/  unspecified","III.1.a. Agriculture",2960650
"1240473",2008,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1040115
"1240495",2007,"United States","Croatia","Other","IV.2. Other Multisector",86272
"1240834",1996,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",9159
"1240906",2003,"Norway","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",270536
"1240946",2006,"United Nations Development Programme (UNDP)","Croatia","","IV.1. General Environment Protection",10125
"1240966",2001,"Portugal","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",65225
"1241852",2008,"France","Croatia","Other","IV.2. Other Multisector",114573
"1241884",2002,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",90315916
"1242065",2004,"United States","Croatia","Business and other services","II.5. Business & Other Services",585618
"1242093",2000,"Norway","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",556345
"1242119",2001,"Japan","Croatia","Communications","I.6. Other Social Infrastructure & Services",509058
"1242286",2001,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",25413
"1242668",1998,"France","Croatia","","II.2. Communications",18445
"1242760",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",16918
"1243096",1998,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",213050
"1243182",2005,"Norway","Croatia","Business and other services","II.5. Business & Other Services",304876
"1243374",2000,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",142702
"1243810",1997,"Sweden","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",52138
"1244595",2001,"United States","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",3353509
"1244737",2007,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2919404
"1245235",2001,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",249889
"1246062",2000,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",1013870
"1246608",2006,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",1456805
"1247910",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",27250
"1248089",2002,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",9086
"1248237",2006,"Germany","Croatia","Unallocated/  unspecified","III.3.b. Tourism",50347
"1248635",1998,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",431332
"1249587",2002,"France","Croatia","Communications","I.6. Other Social Infrastructure & Services",24828
"1249601",1995,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",26293
"1249971",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",695932
"1250025",2001,"Netherlands","Croatia","Agriculture","III.1.a. Agriculture",2207404
"1250072",2008,"Finland","Croatia","General environmental protection","IV.1. General Environment Protection",29219
"1250087",2003,"Greece","Croatia","","IV.1. General Environment Protection",50694
"1250186",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.6. Other Social Infrastructure & Services",872987
"1250812",1999,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",13150
"1250827",2007,"United States","Croatia","Other","IV.2. Other Multisector",1232591
"1252481",2004,"Germany","Croatia","","I.1.d. Post-Secondary Education",7170969
"1253347",2008,"United States","Croatia","Administrative costs of donors","I.5.b. Conflict, Peace & Security",8300
"1253694",1998,"Finland","Croatia","Emergency response","VIII.1. Emergency Response",227601
"1253915",2004,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",19571
"1253960",2008,"European Communities (EC)","Croatia","Other","III.1.a. Agriculture",36524249
"1253966",2000,"United States","Croatia","Communications","II.2. Communications",31942
"1254174",2002,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",755935
"1254341",2004,"Austria","Croatia","","I.1.d. Post-Secondary Education",4119307
"1254596",2008,"United States","Croatia","Other","IV.2. Other Multisector",4728
"1254656",2008,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2721415
"1254680",2004,"Portugal","Croatia","","I.1.d. Post-Secondary Education",9466
"1254955",2005,"Germany","Croatia","Unallocated/  unspecified","II.5. Business & Other Services",9955
"1254984",1995,"Belgium","Croatia","Emergency response","VIII.1. Emergency Response",349544
"1255316",2003,"Germany","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",2243252
"1255320",1997,"Spain","Croatia","Banking and financial services","II.4. Banking & Financial Services",102632
"1255324",1995,"Italy","Croatia","Basic health","I.2.b. Basic Health",8319
"1255523",2003,"Germany","Croatia","","I.1.c. Secondary Education",748
"1255642",2004,"United States","Croatia","Agriculture","I.6. Other Social Infrastructure & Services",1171235
"1256013",1995,"United States","Croatia","Other","IV.2. Other Multisector",50051
"1256116",2000,"European Communities (EC)","Croatia","Emergency response","VIII.1. Emergency Response",919119
"1256215",2007,"Austria","Croatia","Health, general","I.2.a. Health, General",39965
"1257083",2008,"United Kingdom","Croatia","Administrative costs of donors","I.6. Other Social Infrastructure & Services",374811
"1257674",1995,"Switzerland","Croatia","","VI.2. Dev. Food Aid/Food Security Ass.",193334
"1258061",2007,"Switzerland","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",13948
"1258326",1997,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",671460
"1258433",2003,"France","Croatia","","I.2.a. Health, General",33587
"1258708",2005,"Spain","Croatia","Secondary education","I.1.c. Secondary Education",19560
"1258763",2007,"United States","Croatia","Other","IV.2. Other Multisector",244104
"1259128",2006,"United States","Croatia","Business and other services","II.5. Business & Other Services",1098
"1259782",2007,"United States","Croatia","","II.5. Business & Other Services",3672145
"1259821",2006,"Switzerland","Croatia","Other","IV.2. Other Multisector",14298
"1259887",2006,"European Communities (EC)","Croatia","Trade policy and regulations","I.5.a. Government & Civil Society-general",14556826
"1259966",1999,"Austria","Croatia","","I.1.a. Education, Level Unspecified",107267
"1260037",2002,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",24717
"1260177",2000,"United Nations Children`s Fund (UNICEF)","Croatia","","I.1.b. Basic Education",11074
"1260473",1998,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2216065
"1260698",2007,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",24814208
"1261667",1999,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",62059
"1261786",2001,"United States","Croatia","Basic education","I.1.b. Basic Education",624722
"1262688",2001,"Netherlands","Croatia","","IV.1. General Environment Protection",158379
"1262815",2003,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",69041
